"year","marital","age","race","rincome","partyid","relig","denom","tvhours"
2000,"Never married",43,"White","$20000 - 24999","Independent","Catholic","Not applicable",4
2000,"Never married",29,"White","$25000 or more","Ind,near rep","Catholic","Not applicable",2
2000,"Never married",57,"White","Refused","Strong republican","Protestant","Southern baptist",1
2000,"Married",31,"White","$20000 - 24999","Ind,near dem","None","Not applicable",2
2000,"Married",45,"White","$25000 or more","Independent","Catholic","Not applicable",NA
2000,"Divorced",36,"Black","$15000 - 19999","Strong democrat","None","Not applicable",NA
2000,"Never married",52,"White","Not applicable","Ind,near dem","Other","Not applicable",1
2000,"Never married",26,"White","$25000 or more","Ind,near rep","None","Not applicable",1
2000,"Never married",46,"White","$10000 - 14999","Strong democrat","Catholic","Not applicable",NA
2000,"Married",65,"White","$25000 or more","Strong republican","Protestant","Southern baptist",1
2000,"Married",52,"White","$3000 to 3999","Ind,near rep","Protestant","Presbyterian c in us",4
2000,"Married",56,"White","$25000 or more","Not str republican","Protestant","Episcopal",5
2000,"Married",66,"White","$25000 or more","Strong republican","Protestant","Southern baptist",3
2000,"Never married",20,"White","$15000 - 19999","Strong republican","Protestant","Methodist-dk which",2
2000,"Married",64,"White","$5000 to 5999","Strong republican","Protestant","Other",NA
2000,"Married",59,"White","$25000 or more","Strong democrat","Protestant","Other",NA
2000,"Married",46,"White","Not applicable","Not str republican","Protestant","No denomination",3
2000,"Married",26,"Other","$10000 - 14999","Not str democrat","None","Not applicable",2
2000,"Divorced",39,"Black","Don't know","Independent","None","Not applicable",NA
2000,"Divorced",51,"White","$20000 - 24999","Independent","Protestant","Baptist-dk which",2
2000,"Divorced",45,"White","$25000 or more","Ind,near rep","Protestant","Southern baptist",2
2000,"Never married",23,"White","$1000 to 2999","Strong democrat","Protestant","Other",0
2000,"Never married",21,"White","Don't know","Not str republican","Protestant","Presbyterian c in us",NA
2000,"Married",26,"White","$10000 - 14999","Not str republican","Protestant","United methodist",2
2000,"Married",31,"Other","$25000 or more","Not str republican","Christian","Not applicable",NA
2000,"Never married",27,"Black","$25000 or more","Strong democrat","Protestant","Am bapt ch in usa",4
2000,"Divorced",78,"White","Not applicable","Ind,near dem","Protestant","Southern baptist",4
2000,"Never married",29,"White","$10000 - 14999","Independent","None","Not applicable",NA
2000,"Widowed",43,"Black","Not applicable","Independent","None","Not applicable",3
2000,"Divorced",61,"White","$25000 or more","Strong republican","Catholic","Not applicable",NA
2000,"Married",33,"White","Not applicable","Strong democrat","Protestant","No denomination",2
2000,"Never married",34,"Black","$15000 - 19999","Strong democrat","Protestant","Nat bapt conv usa",NA
2000,"Never married",89,"White","Not applicable","Independent","Protestant","Am lutheran",2
2000,"Widowed",83,"Black","Not applicable","Strong democrat","Protestant","United methodist",12
2000,"Widowed",78,"Black","Not applicable","Strong democrat","Other","Not applicable",4
2000,"Widowed",89,"Black","Not applicable","Independent","Protestant","Baptist-dk which",8
2000,"Widowed",84,"Black","Not applicable","Strong democrat","Protestant","Nat bapt conv of am",NA
2000,"Widowed",69,"Black","Not applicable","Not str democrat","Protestant","Nat bapt conv of am",4
2000,"Never married",32,"Black","$10000 - 14999","Ind,near dem","Protestant","Nat bapt conv usa",5
2000,"Widowed",76,"Black","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2000,"Never married",41,"Black","Not applicable","Strong democrat","Protestant","Nat bapt conv of am",5
2000,"Married",32,"Black","$25000 or more","Strong democrat","Catholic","Not applicable",2
2000,"Never married",29,"Black","$25000 or more","Not str republican","Protestant","Baptist-dk which",4
2000,"Married",40,"Black","$25000 or more","Strong democrat","Protestant","Southern baptist",1
2000,"Married",44,"White","$3000 to 3999","Not str republican","Protestant","Lutheran-mo synod",NA
2000,"Widowed",70,"Black","Not applicable","Strong democrat","Catholic","Not applicable",2
2000,"Married",40,"Black","Refused","Ind,near dem","Protestant","Other",3
2000,"Married",51,"Black","$3000 to 3999","Strong democrat","Protestant","Baptist-dk which",NA
2000,"Divorced",75,"White","Not applicable","Strong democrat","Protestant","Am baptist asso",7
2000,"Never married",22,"Black","$20000 - 24999","Independent","Protestant","Southern baptist",3
2000,"Separated",53,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",1
2000,"Never married",20,"White","$10000 - 14999","Ind,near dem","Catholic","Not applicable",2
2000,"Widowed",80,"White","Not applicable","Not str democrat","Catholic","Not applicable",8
2000,"Widowed",70,"White","Refused","Not str republican","Catholic","Not applicable",NA
2000,"Married",45,"White","$25000 or more","Independent","Catholic","Not applicable",1
2000,"Divorced",46,"White","$25000 or more","Not str democrat","Inter-nondenominational","Not applicable",2
2000,"Never married",24,"White","$15000 - 19999","Ind,near dem","Catholic","Not applicable",3
2000,"Never married",51,"White","$20000 - 24999","Not str republican","Catholic","Not applicable",NA
2000,"Never married",32,"White","$25000 or more","Not str republican","Catholic","Not applicable",0
2000,"Married",53,"White","Refused","Independent","Catholic","Not applicable",4
2000,"Married",52,"White","Lt $1000","Ind,near dem","None","Not applicable",NA
2000,"Widowed",83,"White","Not applicable","Not str republican","None","Not applicable",NA
2000,"Divorced",39,"White","Refused","Independent","None","Not applicable",0
2000,"Married",47,"White","Refused","Not str democrat","Protestant","Evangelical luth",2
2000,"Married",45,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
2000,"Married",48,"White","Not applicable","Independent","None","Not applicable",2
2000,"Married",50,"Other","$25000 or more","Not str democrat","Hinduism","Not applicable",NA
2000,"Widowed",78,"White","Not applicable","Not str democrat","Protestant","United methodist",NA
2000,"Married",45,"White","Not applicable","Strong republican","Jewish","Not applicable",NA
2000,"Divorced",56,"White","Refused","Not str democrat","Jewish","Not applicable",3
2000,"Divorced",47,"White","$25000 or more","Strong democrat","Jewish","Not applicable",1
2000,"Married",72,"White","$25000 or more","Strong democrat","Jewish","Not applicable",4
2000,"Never married",29,"Other","$10000 - 14999","Ind,near dem","Protestant","Presbyterian c in us",3
2000,"Married",26,"White","$20000 - 24999","Ind,near rep","None","Not applicable",NA
2000,"Married",52,"Black","Refused","Strong democrat","None","Not applicable",2
2000,"Separated",39,"Other","Refused","Not str democrat","Native american","Not applicable",1
2000,"Married",30,"Other","$25000 or more","Not str democrat","None","Not applicable",1
2000,"Never married",48,"Black","$25000 or more","Independent","None","Not applicable",2
2000,"Divorced",62,"Black","$25000 or more","Strong democrat","Protestant","Episcopal",NA
2000,"Divorced",57,"White","$25000 or more","Ind,near rep","Other","Not applicable",3
2000,"Separated",60,"White","Not applicable","Independent","Catholic","Not applicable",3
2000,"Married",47,"White","$10000 - 14999","Ind,near rep","Catholic","Not applicable",5
2000,"Widowed",55,"White","Not applicable","Not str republican","Protestant","Episcopal",NA
2000,"Separated",43,"White","Not applicable","Not str democrat","Catholic","Not applicable",1
2000,"Divorced",31,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
2000,"Married",44,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
2000,"Divorced",40,"White","No answer","Ind,near rep","Protestant","No denomination",NA
2000,"Never married",25,"White","Not applicable","Independent","Catholic","Not applicable",4
2000,"Divorced",37,"White","$20000 - 24999","Independent","Catholic","Not applicable",3
2000,"Divorced",56,"White","Refused","Independent","Protestant","Other",2
2000,"Married",28,"White","Refused","Independent","Catholic","Not applicable",8
2000,"Never married",36,"Black","Not applicable","Strong democrat","Protestant","Methodist-dk which",12
2000,"Never married",35,"Black","Not applicable","Strong democrat","Protestant","Afr meth episcopal",NA
2000,"Never married",23,"White","$3000 to 3999","Ind,near dem","Protestant","Lutheran-dk which",NA
2000,"Married",30,"White","$10000 - 14999","Ind,near dem","Christian","Not applicable",NA
2000,"Married",32,"White","$8000 to 9999","Ind,near dem","None","Not applicable",1
2000,"Divorced",50,"Black","$10000 - 14999","Ind,near dem","Inter-nondenominational","Not applicable",2
2000,"Widowed",38,"Black","$8000 to 9999","Ind,near dem","Protestant","Baptist-dk which",NA
2000,"Never married",31,"White","$20000 - 24999","Ind,near rep","Christian","Not applicable",1
2000,"Widowed",82,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",4
2000,"Divorced",73,"White","Not applicable","Not str democrat","Catholic","Not applicable",3
2000,"Separated",57,"Black","Not applicable","Ind,near dem","None","Not applicable",0
2000,"Widowed",60,"Black","Not applicable","Strong democrat","Catholic","Not applicable",NA
2000,"Never married",76,"White","Not applicable","Not str republican","Protestant","Am bapt ch in usa",12
2000,"Widowed",70,"Black","Not applicable","Not str democrat","Protestant","Baptist-dk which",5
2000,"Widowed",87,"Black","Don't know","Strong democrat","Protestant","Baptist-dk which",10
2000,"Widowed",70,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
2000,"Widowed",78,"White","Not applicable","Not str republican","Protestant","United methodist",0
2000,"Never married",32,"Black","$15000 - 19999","Strong democrat","None","Not applicable",NA
2000,"Never married",58,"Black","$1000 to 2999","Not str democrat","Protestant","Other methodist",NA
2000,"Never married",29,"Black","$8000 to 9999","Ind,near rep","None","Not applicable",2
2000,"Never married",39,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",NA
2000,"Never married",44,"Black","Not applicable","Not str democrat","Protestant","Other methodist",3
2000,"Never married",40,"Other","$25000 or more","Independent","None","Not applicable",1
2000,"Never married",36,"Other","Not applicable","Strong democrat","Catholic","Not applicable",5
2000,"Married",52,"White","Refused","Not str republican","Catholic","Not applicable",1
2000,"Married",41,"White","$20000 - 24999","Strong republican","Protestant","Am baptist asso",NA
2000,"Separated",48,"Black","$25000 or more","Not str democrat","Protestant","Baptist-dk which",3
2000,"Never married",33,"White","$20000 - 24999","Independent","None","Not applicable",4
2000,"Widowed",65,"White","Not applicable","Strong democrat","Catholic","Not applicable",NA
2000,"Widowed",41,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",NA
2000,"Married",58,"White","$25000 or more","Not str republican","Protestant","Am bapt ch in usa",2
2000,"Married",48,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",1
2000,"Married",63,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",6
2000,"Married",43,"White","$15000 - 19999","Independent","Protestant","Other",NA
2000,"Married",62,"White","$10000 - 14999","Ind,near dem","Protestant","No denomination",NA
2000,"Never married",48,"White","$25000 or more","Independent","Catholic","Not applicable",NA
2000,"Married",49,"White","No answer","Ind,near dem","None","Not applicable",2
2000,"Divorced",48,"White","$25000 or more","Independent","Protestant","No denomination",4
2000,"Never married",19,"White","$1000 to 2999","Not str republican","Catholic","Not applicable",NA
2000,"Married",70,"White","Not applicable","Not str democrat","Catholic","Not applicable",NA
2000,"Married",42,"White","$25000 or more","Not str republican","Protestant","Other lutheran",2
2000,"Married",36,"White","Refused","Not str democrat","Catholic","Not applicable",1
2000,"Never married",30,"White","$25000 or more","Independent","None","Not applicable",2
2000,"Never married",32,"White","$20000 - 24999","Not str republican","Protestant","Luth ch in america",2
2000,"Married",36,"White","$25000 or more","Strong republican","Protestant","Evangelical luth",5
2000,"Married",38,"White","Not applicable","Strong republican","Protestant","Luth ch in america",15
2000,"Married",58,"White","$25000 or more","Ind,near rep","Protestant","Luth ch in america",NA
2000,"Married",47,"White","Not applicable","Other party","Catholic","Not applicable",1
2000,"Married",55,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
2000,"Married",72,"White","Not applicable","Strong republican","Protestant","Presbyterian, merged",2
2000,"Married",31,"White","Refused","Strong republican","Catholic","Not applicable",2
2000,"Married",45,"White","Refused","Strong republican","Jewish","Not applicable",NA
2000,"Married",45,"Other","Refused","Independent","None","Not applicable",0
2000,"Widowed",85,"White","Not applicable","Ind,near rep","Protestant","Evangelical luth",2
2000,"Widowed",48,"Black","$25000 or more","Not str republican","Catholic","Not applicable",1
2000,"Married",50,"White","No answer","No answer","No answer","No answer",2
2000,"Married",50,"White","$25000 or more","Not str democrat","Jewish","Not applicable",2
2000,"Married",51,"White","$25000 or more","Strong democrat","Jewish","Not applicable",2
2000,"Divorced",48,"White","$25000 or more","Strong democrat","Protestant","Episcopal",NA
2000,"Married",45,"Black","Not applicable","Not str democrat","Protestant","Baptist-dk which",NA
2000,"Married",39,"White","Lt $1000","Not str democrat","Jewish","Not applicable",NA
2000,"Never married",38,"White","$25000 or more","Not str democrat","Protestant","Episcopal",1
2000,"Never married",40,"White","$25000 or more","Strong democrat","Jewish","Not applicable",NA
2000,"Never married",33,"White","$8000 to 9999","Not str democrat","None","Not applicable",1
2000,"Divorced",56,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
2000,"Never married",67,"White","$25000 or more","Strong democrat","Protestant","Evangelical luth",1
2000,"Never married",43,"Black","$25000 or more","Strong democrat","None","Not applicable",3
2000,"Married",56,"White","Refused","Not str democrat","None","Not applicable",1
2000,"Never married",48,"Black","Not applicable","Strong democrat","Protestant","Am baptist asso",NA
2000,"Separated",32,"Other","Not applicable","Strong republican","Protestant","Other",4
2000,"Never married",23,"Black","Not applicable","Ind,near rep","Protestant","Am baptist asso",8
2000,"Never married",28,"Black","Not applicable","Not str republican","Catholic","Not applicable",6
2000,"Divorced",48,"Black","$10000 - 14999","Strong democrat","Protestant","Am baptist asso",4
2000,"Widowed",77,"Black","$3000 to 3999","Strong democrat","Catholic","Not applicable",2
2000,"Separated",38,"Black","Not applicable","Ind,near dem","Protestant","Am baptist asso",10
2000,"Married",40,"White","$10000 - 14999","Not str republican","Catholic","Not applicable",NA
2000,"Married",39,"White","$3000 to 3999","Ind,near rep","Protestant","Am baptist asso",2
2000,"Separated",30,"White","$25000 or more","Strong democrat","None","Not applicable",1
2000,"Divorced",45,"White","$25000 or more","Independent","Inter-nondenominational","Not applicable",NA
2000,"Divorced",52,"White","$8000 to 9999","Ind,near dem","None","Not applicable",2
2000,"Never married",53,"White","$25000 or more","Not str democrat","Protestant","Other",3
2000,"Married",53,"White","$10000 - 14999","Not str republican","Protestant","Episcopal",1
2000,"Married",39,"White","$25000 or more","Not str democrat","Protestant","No denomination",NA
2000,"Married",78,"White","Not applicable","Not str republican","Protestant","Other",5
2000,"Married",41,"White","$25000 or more","Not str democrat","None","Not applicable",5
2000,"Married",30,"White","Not applicable","Strong republican","Protestant","No denomination",11
2000,"Never married",20,"White","$1000 to 2999","Independent","Catholic","Not applicable",NA
2000,"Never married",26,"White","$8000 to 9999","Ind,near dem","Catholic","Not applicable",NA
2000,"Never married",21,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",5
2000,"Married",31,"White","Lt $1000","Not str democrat","None","Not applicable",2
2000,"Married",32,"Other","$25000 or more","Not str republican","Catholic","Not applicable",2
2000,"Separated",45,"White","$25000 or more","Strong democrat","Protestant","Wi evan luth synod",1
2000,"Married",28,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
2000,"Never married",21,"White","$20000 - 24999","Not str democrat","Catholic","Not applicable",3
2000,"Married",36,"White","$25000 or more","Ind,near dem","None","Not applicable",NA
2000,"Never married",35,"White","$15000 - 19999","Other party","None","Not applicable",2
2000,"Divorced",38,"White","$25000 or more","Ind,near dem","Inter-nondenominational","Not applicable",NA
2000,"Never married",NA,"White","Refused","Strong democrat","Catholic","Not applicable",2
2000,"Never married",28,"White","$25000 or more","Other party","Protestant","No denomination",0
2000,"Never married",62,"White","$8000 to 9999","Ind,near dem","Catholic","Not applicable",NA
2000,"Married",53,"White","$25000 or more","Not str republican","Protestant","Other",NA
2000,"Married",27,"Other","$25000 or more","Not str democrat","None","Not applicable",NA
2000,"Never married",45,"White","Not applicable","Ind,near dem","Catholic","Not applicable",6
2000,"Married",46,"White","$25000 or more","Not str democrat","Catholic","Not applicable",4
2000,"Widowed",82,"White","Not applicable","Strong democrat","Protestant","Luth ch in america",4
2000,"Married",56,"White","$25000 or more","Ind,near dem","Protestant","United methodist",5
2000,"Never married",42,"White","$3000 to 3999","Ind,near dem","Catholic","Not applicable",NA
2000,"Divorced",66,"White","Not applicable","Independent","Protestant","No denomination",8
2000,"Married",36,"Other","$25000 or more","Strong republican","Christian","Not applicable",1
2000,"Separated",49,"White","$25000 or more","Strong democrat","Other","Not applicable",1
2000,"Married",72,"White","$25000 or more","Strong democrat","None","Not applicable",2
2000,"Married",53,"White","Not applicable","Independent","Protestant","Other",2
2000,"Married",42,"White","Not applicable","Not str republican","Protestant","No denomination",NA
2000,"Widowed",79,"White","Not applicable","Strong republican","Protestant","Episcopal",1
2000,"Married",50,"White","Not applicable","Strong republican","Catholic","Not applicable",1
2000,"Widowed",50,"Other","Not applicable","Not str democrat","Protestant","Other",4
2000,"Married",32,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
2000,"Never married",20,"Other","$3000 to 3999","Strong democrat","None","Not applicable",NA
2000,"Married",51,"White","$25000 or more","Ind,near dem","Protestant","Southern baptist",4
2000,"Married",35,"Other","$6000 to 6999","Not str democrat","Buddhism","Not applicable",11
2000,"Married",54,"Other","$15000 - 19999","Not str democrat","Catholic","Not applicable",1
2000,"Widowed",65,"White","$6000 to 6999","Strong democrat","Catholic","Not applicable",0
2000,"Married",36,"White","Not applicable","Ind,near rep","Catholic","Not applicable",4
2000,"Married",48,"White","$25000 or more","Strong democrat","Jewish","Not applicable",NA
2000,"Married",54,"White","Not applicable","Strong republican","Protestant","Other baptists",3
2000,"Divorced",62,"White","Not applicable","Strong democrat","Protestant","Am lutheran",3
2000,"Never married",51,"White","$25000 or more","Ind,near rep","None","Not applicable",4
2000,"Married",38,"White","$4000 to 4999","Not str republican","None","Not applicable",NA
2000,"Married",85,"White","Not applicable","Not str republican","None","Not applicable",2
2000,"Divorced",67,"White","Not applicable","Strong republican","Protestant","Methodist-dk which",1
2000,"Married",48,"White","$10000 - 14999","Strong republican","Protestant","Am baptist asso",1
2000,"Never married",29,"White","$25000 or more","Independent","Catholic","Not applicable",NA
2000,"Separated",64,"White","$25000 or more","Ind,near dem","Protestant","Methodist-dk which",1
2000,"Divorced",26,"White","$25000 or more","Independent","Protestant","Baptist-dk which",NA
2000,"Widowed",72,"White","Not applicable","Not str democrat","Protestant","Methodist-dk which",3
2000,"Married",58,"White","$25000 or more","Strong republican","Catholic","Not applicable",NA
2000,"Separated",45,"White","Not applicable","Not str democrat","None","Not applicable",8
2000,"Widowed",49,"White","Refused","Independent","Catholic","Not applicable",NA
2000,"Married",47,"White","$25000 or more","Independent","Catholic","Not applicable",3
2000,"Never married",19,"White","No answer","Ind,near rep","Catholic","Not applicable",NA
2000,"Never married",37,"White","Not applicable","Not str democrat","Catholic","Not applicable",1
2000,"Married",24,"Black","Not applicable","Other party","Protestant","No denomination",6
2000,"Married",43,"Black","$25000 or more","Other party","Protestant","Am baptist asso",4
2000,"Never married",29,"White","$25000 or more","Independent","Protestant","United methodist",2
2000,"Never married",26,"Other","$10000 - 14999","Not str democrat","None","Not applicable",2
2000,"Never married",24,"White","$25000 or more","Independent","None","Not applicable",2
2000,"Divorced",38,"Black","$15000 - 19999","Ind,near dem","None","Not applicable",5
2000,"Widowed",60,"Black","Don't know","Strong democrat","Protestant","Baptist-dk which",4
2000,"Separated",48,"Black","Not applicable","Strong democrat","Protestant","Am bapt ch in usa",NA
2000,"Divorced",61,"Black","Not applicable","Strong democrat","Protestant","Other",3
2000,"Widowed",59,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",6
2000,"Never married",59,"Black","Not applicable","Strong democrat","Protestant","Afr meth episcopal",NA
2000,"Never married",31,"Black","Not applicable","Not str republican","Protestant","Afr meth episcopal",6
2000,"Never married",34,"Black","$5000 to 5999","Ind,near dem","Protestant","Am bapt ch in usa",1
2000,"Married",NA,"Black","Refused","Independent","Protestant","No denomination",1
2000,"Married",32,"Black","$10000 - 14999","Independent","Catholic","Not applicable",4
2000,"Never married",18,"Black","Not applicable","Ind,near rep","Catholic","Not applicable",NA
2000,"Never married",32,"Black","$15000 - 19999","Strong democrat","Protestant","Southern baptist",NA
2000,"Never married",42,"Black","Refused","Independent","Protestant","Baptist-dk which",6
2000,"Divorced",38,"Black","Refused","Ind,near dem","Protestant","Southern baptist",NA
2000,"Never married",25,"Black","$7000 to 7999","Not str democrat","Protestant","Baptist-dk which",NA
2000,"Divorced",54,"Black","$8000 to 9999","Not str democrat","Protestant","Southern baptist",6
2000,"Married",47,"Black","Lt $1000","Not str democrat","Protestant","Am lutheran",10
2000,"Never married",31,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",1
2000,"Separated",40,"Black","Refused","Independent","Catholic","Not applicable",3
2000,"Separated",60,"Black","$15000 - 19999","Strong democrat","Protestant","Am bapt ch in usa",8
2000,"Never married",34,"White","Not applicable","Not str republican","Protestant","Am lutheran",NA
2000,"Married",36,"White","$25000 or more","Strong republican","Protestant","No denomination",NA
2000,"Never married",43,"Black","Not applicable","Strong democrat","None","Not applicable",2
2000,"Divorced",28,"Black","$15000 - 19999","Strong democrat","Protestant","Am baptist asso",NA
2000,"Never married",34,"Black","$10000 - 14999","Not str democrat","None","Not applicable",0
2000,"Never married",44,"Black","$15000 - 19999","Strong democrat","Protestant","Southern baptist",5
2000,"Never married",22,"Black","No answer","Strong democrat","None","Not applicable",NA
2000,"Never married",24,"Black","Not applicable","Ind,near rep","Catholic","Not applicable",7
2000,"Divorced",31,"Black","$3000 to 3999","Independent","None","Not applicable",3
2000,"Divorced",45,"White","$25000 or more","Not str democrat","Catholic","Not applicable",3
2000,"Married",71,"White","Not applicable","Not str republican","Protestant","United methodist",1
2000,"Married",65,"White","Not applicable","Ind,near rep","Catholic","Not applicable",2
2000,"Married",40,"White","Not applicable","Not str democrat","Protestant","Evangelical luth",NA
2000,"Married",59,"White","$25000 or more","Other party","None","Not applicable",1
2000,"Married",38,"White","$15000 - 19999","Not str republican","Catholic","Not applicable",1
2000,"Divorced",73,"White","$25000 or more","Ind,near dem","Protestant","No denomination",NA
2000,"Married",31,"White","$25000 or more","Not str republican","Catholic","Not applicable",1
2000,"Married",44,"White","$6000 to 6999","Ind,near rep","Protestant","Presbyterian c in us",NA
2000,"Married",34,"White","$25000 or more","Ind,near dem","Protestant","Presbyterian c in us",3
2000,"Never married",26,"White","$25000 or more","Ind,near dem","Protestant","Other",0
2000,"Married",38,"Black","$25000 or more","Not str democrat","Protestant","Other baptists",2
2000,"Never married",29,"White","$25000 or more","Ind,near dem","None","Not applicable",3
2000,"Never married",36,"Other","$25000 or more","Ind,near dem","Moslem/islam","Not applicable",1
2000,"Married",32,"White","$25000 or more","Strong democrat","None","Not applicable",NA
2000,"Married",26,"White","$5000 to 5999","Ind,near dem","Protestant","Evangelical luth",3
2000,"Married",47,"White","$25000 or more","Independent","Orthodox-christian","Not applicable",1
2000,"Divorced",37,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
2000,"Never married",29,"White","$25000 or more","Strong democrat","Jewish","Not applicable",NA
2000,"Never married",37,"Other","$25000 or more","Ind,near rep","Buddhism","Not applicable",NA
2000,"Married",35,"White","Refused","Strong republican","Protestant","Other",0
2000,"Married",68,"White","Not applicable","Strong republican","Protestant","United methodist",3
2000,"Married",26,"White","$25000 or more","Independent","Protestant","United methodist",1
2000,"Never married",84,"White","Not applicable","Ind,near rep","Catholic","Not applicable",NA
2000,"Never married",23,"Other","$20000 - 24999","Not str republican","Catholic","Not applicable",2
2000,"Never married",22,"White","$15000 - 19999","Strong democrat","Protestant","Other",6
2000,"Married",42,"White","$25000 or more","Strong republican","Catholic","Not applicable",NA
2000,"Widowed",53,"White","$25000 or more","Independent","Protestant","Luth ch in america",1
2000,"Married",43,"White","$25000 or more","Independent","Catholic","Not applicable",3
2000,"Married",49,"White","$25000 or more","Not str democrat","Protestant","Evangelical luth",NA
2000,"Widowed",74,"White","Not applicable","Not str democrat","Catholic","Not applicable",1
2000,"Married",47,"White","$6000 to 6999","Strong republican","Protestant","Other baptists",1
2000,"Married",37,"White","$25000 or more","Independent","Catholic","Not applicable",2
2000,"Married",42,"White","$25000 or more","Ind,near rep","None","Not applicable",2
2000,"Never married",18,"White","Not applicable","Not str democrat","None","Not applicable",NA
2000,"Never married",22,"White","$10000 - 14999","Independent","Other","Not applicable",12
2000,"Married",51,"White","$25000 or more","Other party","None","Not applicable",NA
2000,"Married",30,"White","$25000 or more","Ind,near rep","Protestant","Other",NA
2000,"Married",59,"White","$25000 or more","Independent","None","Not applicable",1
2000,"Married",52,"White","$20000 - 24999","Independent","Protestant","Wi evan luth synod",NA
2000,"Married",58,"White","$3000 to 3999","Independent","None","Not applicable",8
2000,"Never married",40,"White","$25000 or more","Independent","Jewish","Not applicable",2
2000,"Married",63,"White","Refused","Strong republican","Protestant","United methodist",2
2000,"Married",56,"White","Refused","Ind,near rep","Protestant","United methodist",NA
2000,"Never married",25,"White","$6000 to 6999","Ind,near rep","Catholic","Not applicable",0
2000,"Never married",28,"Black","$25000 or more","Not str democrat","Protestant","Other",NA
