DATE,CPIAUCNS
1926-06-01,17.7
1926-07-01,17.5
1926-08-01,17.4
1926-09-01,17.5
1926-10-01,17.6
1926-11-01,17.7
1926-12-01,17.7
1927-01-01,17.5
1927-02-01,17.4
1927-03-01,17.3
1927-04-01,17.3
1927-05-01,17.4
1927-06-01,17.6
1927-07-01,17.3
1927-08-01,17.2
1927-09-01,17.3
1927-10-01,17.4
1927-11-01,17.3
1927-12-01,17.3
1928-01-01,17.3
1928-02-01,17.1
1928-03-01,17.1
1928-04-01,17.1
1928-05-01,17.2
1928-06-01,17.1
1928-07-01,17.1
1928-08-01,17.1
1928-09-01,17.3
1928-10-01,17.2
1928-11-01,17.2
1928-12-01,17.1
1929-01-01,17.1
1929-02-01,17.1
1929-03-01,17
1929-04-01,16.9
1929-05-01,17
1929-06-01,17.1
1929-07-01,17.3
1929-08-01,17.3
1929-09-01,17.3
1929-10-01,17.3
1929-11-01,17.3
1929-12-01,17.2
1930-01-01,17.1
1930-02-01,17
1930-03-01,16.9
1930-04-01,17
1930-05-01,16.9
1930-06-01,16.8
1930-07-01,16.6
1930-08-01,16.5
1930-09-01,16.6
1930-10-01,16.5
1930-11-01,16.4
1930-12-01,16.1
1931-01-01,15.9
1931-02-01,15.7
1931-03-01,15.6
1931-04-01,15.5
1931-05-01,15.3
1931-06-01,15.1
1931-07-01,15.1
1931-08-01,15.1
1931-09-01,15
1931-10-01,14.9
1931-11-01,14.7
1931-12-01,14.6
1932-01-01,14.3
1932-02-01,14.1
1932-03-01,14
1932-04-01,13.9
1932-05-01,13.7
1932-06-01,13.6
1932-07-01,13.6
1932-08-01,13.5
1932-09-01,13.4
1932-10-01,13.3
1932-11-01,13.2
1932-12-01,13.1
1933-01-01,12.9
1933-02-01,12.7
1933-03-01,12.6
1933-04-01,12.6
1933-05-01,12.6
1933-06-01,12.7
1933-07-01,13.1
1933-08-01,13.2
1933-09-01,13.2
1933-10-01,13.2
1933-11-01,13.2
1933-12-01,13.2
1934-01-01,13.2
1934-02-01,13.3
1934-03-01,13.3
1934-04-01,13.3
1934-05-01,13.3
1934-06-01,13.4
1934-07-01,13.4
1934-08-01,13.4
1934-09-01,13.6
1934-10-01,13.5
1934-11-01,13.5
1934-12-01,13.4
1935-01-01,13.6
1935-02-01,13.7
1935-03-01,13.7
1935-04-01,13.8
1935-05-01,13.8
1935-06-01,13.7
1935-07-01,13.7
1935-08-01,13.7
1935-09-01,13.7
1935-10-01,13.7
1935-11-01,13.8
1935-12-01,13.8
1936-01-01,13.8
1936-02-01,13.8
1936-03-01,13.7
1936-04-01,13.7
1936-05-01,13.7
1936-06-01,13.8
1936-07-01,13.9
1936-08-01,14
1936-09-01,14
1936-10-01,14
1936-11-01,14
1936-12-01,14
1937-01-01,14.1
1937-02-01,14.1
1937-03-01,14.2
1937-04-01,14.3
1937-05-01,14.4
1937-06-01,14.4
1937-07-01,14.5
1937-08-01,14.5
1937-09-01,14.6
1937-10-01,14.6
1937-11-01,14.5
1937-12-01,14.4
1938-01-01,14.2
1938-02-01,14.1
1938-03-01,14.1
1938-04-01,14.2
1938-05-01,14.1
1938-06-01,14.1
1938-07-01,14.1
1938-08-01,14.1
1938-09-01,14.1
1938-10-01,14
1938-11-01,14
1938-12-01,14
1939-01-01,14
1939-02-01,13.9
1939-03-01,13.9
1939-04-01,13.8
1939-05-01,13.8
1939-06-01,13.8
1939-07-01,13.8
1939-08-01,13.8
1939-09-01,14.1
1939-10-01,14
1939-11-01,14
1939-12-01,14
1940-01-01,13.9
1940-02-01,14
1940-03-01,14
1940-04-01,14
1940-05-01,14
1940-06-01,14.1
1940-07-01,14
1940-08-01,14
1940-09-01,14
1940-10-01,14
1940-11-01,14
1940-12-01,14.1
1941-01-01,14.1
1941-02-01,14.1
1941-03-01,14.2
1941-04-01,14.3
1941-05-01,14.4
1941-06-01,14.7
1941-07-01,14.7
1941-08-01,14.9
1941-09-01,15.1
1941-10-01,15.3
1941-11-01,15.4
1941-12-01,15.5
1942-01-01,15.7
1942-02-01,15.8
1942-03-01,16
1942-04-01,16.1
1942-05-01,16.3
1942-06-01,16.3
1942-07-01,16.4
1942-08-01,16.5
1942-09-01,16.5
1942-10-01,16.7
1942-11-01,16.8
1942-12-01,16.9
1943-01-01,16.9
1943-02-01,16.9
1943-03-01,17.2
1943-04-01,17.4
1943-05-01,17.5
1943-06-01,17.5
1943-07-01,17.4
1943-08-01,17.3
1943-09-01,17.4
1943-10-01,17.4
1943-11-01,17.4
1943-12-01,17.4
1944-01-01,17.4
1944-02-01,17.4
1944-03-01,17.4
1944-04-01,17.5
1944-05-01,17.5
1944-06-01,17.6
1944-07-01,17.7
1944-08-01,17.7
1944-09-01,17.7
1944-10-01,17.7
1944-11-01,17.7
1944-12-01,17.8
1945-01-01,17.8
1945-02-01,17.8
1945-03-01,17.8
1945-04-01,17.8
1945-05-01,17.9
1945-06-01,18.1
1945-07-01,18.1
1945-08-01,18.1
1945-09-01,18.1
1945-10-01,18.1
1945-11-01,18.1
1945-12-01,18.2
1946-01-01,18.2
1946-02-01,18.1
1946-03-01,18.3
1946-04-01,18.4
1946-05-01,18.5
1946-06-01,18.7
1946-07-01,19.8
1946-08-01,20.2
1946-09-01,20.4
1946-10-01,20.8
1946-11-01,21.3
1946-12-01,21.5
1947-01-01,21.5
1947-02-01,21.5
1947-03-01,21.9
1947-04-01,21.9
1947-05-01,21.9
1947-06-01,22.0
1947-07-01,22.2
1947-08-01,22.5
1947-09-01,23.0
1947-10-01,23.0
1947-11-01,23.1
1947-12-01,23.4
1948-01-01,23.7
1948-02-01,23.5
1948-03-01,23.4
1948-04-01,23.8
1948-05-01,23.9
1948-06-01,24.1
1948-07-01,24.4
1948-08-01,24.5
1948-09-01,24.5
1948-10-01,24.4
1948-11-01,24.2
1948-12-01,24.1
1949-01-01,24.0
1949-02-01,23.8
1949-03-01,23.8
1949-04-01,23.9
1949-05-01,23.8
1949-06-01,23.9
1949-07-01,23.7
1949-08-01,23.8
1949-09-01,23.9
1949-10-01,23.7
1949-11-01,23.8
1949-12-01,23.6
1950-01-01,23.5
1950-02-01,23.5
1950-03-01,23.6
1950-04-01,23.6
1950-05-01,23.7
1950-06-01,23.8
1950-07-01,24.1
1950-08-01,24.3
1950-09-01,24.4
1950-10-01,24.6
1950-11-01,24.7
1950-12-01,25.0
1951-01-01,25.4
1951-02-01,25.7
1951-03-01,25.8
1951-04-01,25.8
1951-05-01,25.9
1951-06-01,25.9
1951-07-01,25.9
1951-08-01,25.9
1951-09-01,26.1
1951-10-01,26.2
1951-11-01,26.4
1951-12-01,26.5
1952-01-01,26.5
1952-02-01,26.3
1952-03-01,26.3
1952-04-01,26.4
1952-05-01,26.4
1952-06-01,26.5
1952-07-01,26.7
1952-08-01,26.7
1952-09-01,26.7
1952-10-01,26.7
1952-11-01,26.7
1952-12-01,26.7
1953-01-01,26.6
1953-02-01,26.5
1953-03-01,26.6
1953-04-01,26.6
1953-05-01,26.7
1953-06-01,26.8
1953-07-01,26.8
1953-08-01,26.9
1953-09-01,26.9
1953-10-01,27.0
1953-11-01,26.9
1953-12-01,26.9
1954-01-01,26.9
1954-02-01,26.9
1954-03-01,26.9
1954-04-01,26.8
1954-05-01,26.9
1954-06-01,26.9
1954-07-01,26.9
1954-08-01,26.9
1954-09-01,26.8
1954-10-01,26.8
1954-11-01,26.8
1954-12-01,26.7
1955-01-01,26.7
1955-02-01,26.7
1955-03-01,26.7
1955-04-01,26.7
1955-05-01,26.7
1955-06-01,26.7
1955-07-01,26.8
1955-08-01,26.8
1955-09-01,26.9
1955-10-01,26.9
1955-11-01,26.9
1955-12-01,26.8
1956-01-01,26.8
1956-02-01,26.8
1956-03-01,26.8
1956-04-01,26.9
1956-05-01,27.0
1956-06-01,27.2
1956-07-01,27.4
1956-08-01,27.3
1956-09-01,27.4
1956-10-01,27.5
1956-11-01,27.5
1956-12-01,27.6
1957-01-01,27.6
1957-02-01,27.7
1957-03-01,27.8
1957-04-01,27.9
1957-05-01,28.0
1957-06-01,28.1
1957-07-01,28.3
1957-08-01,28.3
1957-09-01,28.3
1957-10-01,28.3
1957-11-01,28.4
1957-12-01,28.4
1958-01-01,28.6
1958-02-01,28.6
1958-03-01,28.8
1958-04-01,28.9
1958-05-01,28.9
1958-06-01,28.9
1958-07-01,29.0
1958-08-01,28.9
1958-09-01,28.9
1958-10-01,28.9
1958-11-01,29.0
1958-12-01,28.9
1959-01-01,29.0
1959-02-01,28.9
1959-03-01,28.9
1959-04-01,29.0
1959-05-01,29.0
1959-06-01,29.1
1959-07-01,29.2
1959-08-01,29.2
1959-09-01,29.3
1959-10-01,29.4
1959-11-01,29.4
1959-12-01,29.4
1960-01-01,29.3
1960-02-01,29.4
1960-03-01,29.4
1960-04-01,29.5
1960-05-01,29.5
1960-06-01,29.6
1960-07-01,29.6
1960-08-01,29.6
1960-09-01,29.6
1960-10-01,29.8
1960-11-01,29.8
1960-12-01,29.8
1961-01-01,29.8
1961-02-01,29.8
1961-03-01,29.8
1961-04-01,29.8
1961-05-01,29.8
1961-06-01,29.8
1961-07-01,30.0
1961-08-01,29.9
1961-09-01,30.0
1961-10-01,30.0
1961-11-01,30.0
1961-12-01,30.0
1962-01-01,30.0
1962-02-01,30.1
1962-03-01,30.1
1962-04-01,30.2
1962-05-01,30.2
1962-06-01,30.2
1962-07-01,30.3
1962-08-01,30.3
1962-09-01,30.4
1962-10-01,30.4
1962-11-01,30.4
1962-12-01,30.4
1963-01-01,30.4
1963-02-01,30.4
1963-03-01,30.5
1963-04-01,30.5
1963-05-01,30.5
1963-06-01,30.6
1963-07-01,30.7
1963-08-01,30.7
1963-09-01,30.7
1963-10-01,30.8
1963-11-01,30.8
1963-12-01,30.9
1964-01-01,30.9
1964-02-01,30.9
1964-03-01,30.9
1964-04-01,30.9
1964-05-01,30.9
1964-06-01,31.0
1964-07-01,31.1
1964-08-01,31.0
1964-09-01,31.1
1964-10-01,31.1
1964-11-01,31.2
1964-12-01,31.2
1965-01-01,31.2
1965-02-01,31.2
1965-03-01,31.3
1965-04-01,31.4
1965-05-01,31.4
1965-06-01,31.6
1965-07-01,31.6
1965-08-01,31.6
1965-09-01,31.6
1965-10-01,31.7
1965-11-01,31.7
1965-12-01,31.8
1966-01-01,31.8
1966-02-01,32.0
1966-03-01,32.1
1966-04-01,32.3
1966-05-01,32.3
1966-06-01,32.4
1966-07-01,32.5
1966-08-01,32.7
1966-09-01,32.7
1966-10-01,32.9
1966-11-01,32.9
1966-12-01,32.9
1967-01-01,32.9
1967-02-01,32.9
1967-03-01,33.0
1967-04-01,33.1
1967-05-01,33.2
1967-06-01,33.3
1967-07-01,33.4
1967-08-01,33.5
1967-09-01,33.6
1967-10-01,33.7
1967-11-01,33.8
1967-12-01,33.9
1968-01-01,34.1
1968-02-01,34.2
1968-03-01,34.3
1968-04-01,34.4
1968-05-01,34.5
1968-06-01,34.7
1968-07-01,34.9
1968-08-01,35.0
1968-09-01,35.1
1968-10-01,35.3
1968-11-01,35.4
1968-12-01,35.5
1969-01-01,35.6
1969-02-01,35.8
1969-03-01,36.1
1969-04-01,36.3
1969-05-01,36.4
1969-06-01,36.6
1969-07-01,36.8
1969-08-01,37.0
1969-09-01,37.1
1969-10-01,37.3
1969-11-01,37.5
1969-12-01,37.7
1970-01-01,37.8
1970-02-01,38.0
1970-03-01,38.2
1970-04-01,38.5
1970-05-01,38.6
1970-06-01,38.8
1970-07-01,39.0
1970-08-01,39.0
1970-09-01,39.2
1970-10-01,39.4
1970-11-01,39.6
1970-12-01,39.8
1971-01-01,39.8
1971-02-01,39.9
1971-03-01,40.0
1971-04-01,40.1
1971-05-01,40.3
1971-06-01,40.6
1971-07-01,40.7
1971-08-01,40.8
1971-09-01,40.8
1971-10-01,40.9
1971-11-01,40.9
1971-12-01,41.1
1972-01-01,41.1
1972-02-01,41.3
1972-03-01,41.4
1972-04-01,41.5
1972-05-01,41.6
1972-06-01,41.7
1972-07-01,41.9
1972-08-01,42.0
1972-09-01,42.1
1972-10-01,42.3
1972-11-01,42.4
1972-12-01,42.5
1973-01-01,42.6
1973-02-01,42.9
1973-03-01,43.3
1973-04-01,43.6
1973-05-01,43.9
1973-06-01,44.2
1973-07-01,44.3
1973-08-01,45.1
1973-09-01,45.2
1973-10-01,45.6
1973-11-01,45.9
1973-12-01,46.2
1974-01-01,46.6
1974-02-01,47.2
1974-03-01,47.8
1974-04-01,48.0
1974-05-01,48.6
1974-06-01,49.0
1974-07-01,49.4
1974-08-01,50.0
1974-09-01,50.6
1974-10-01,51.1
1974-11-01,51.5
1974-12-01,51.9
1975-01-01,52.1
1975-02-01,52.5
1975-03-01,52.7
1975-04-01,52.9
1975-05-01,53.2
1975-06-01,53.6
1975-07-01,54.2
1975-08-01,54.3
1975-09-01,54.6
1975-10-01,54.9
1975-11-01,55.3
1975-12-01,55.5
1976-01-01,55.6
1976-02-01,55.8
1976-03-01,55.9
1976-04-01,56.1
1976-05-01,56.5
1976-06-01,56.8
1976-07-01,57.1
1976-08-01,57.4
1976-09-01,57.6
1976-10-01,57.9
1976-11-01,58.0
1976-12-01,58.2
1977-01-01,58.5
1977-02-01,59.1
1977-03-01,59.5
1977-04-01,60.0
1977-05-01,60.3
1977-06-01,60.7
1977-07-01,61.0
1977-08-01,61.2
1977-09-01,61.4
1977-10-01,61.6
1977-11-01,61.9
1977-12-01,62.1
1978-01-01,62.5
1978-02-01,62.9
1978-03-01,63.4
1978-04-01,63.9
1978-05-01,64.5
1978-06-01,65.2
1978-07-01,65.7
1978-08-01,66.0
1978-09-01,66.5
1978-10-01,67.1
1978-11-01,67.4
1978-12-01,67.7
1979-01-01,68.3
1979-02-01,69.1
1979-03-01,69.8
1979-04-01,70.6
1979-05-01,71.5
1979-06-01,72.3
1979-07-01,73.1
1979-08-01,73.8
1979-09-01,74.6
1979-10-01,75.2
1979-11-01,75.9
1979-12-01,76.7
1980-01-01,77.8
1980-02-01,78.9
1980-03-01,80.1
1980-04-01,81.0
1980-05-01,81.8
1980-06-01,82.7
1980-07-01,82.7
1980-08-01,83.3
1980-09-01,84.0
1980-10-01,84.8
1980-11-01,85.5
1980-12-01,86.3
1981-01-01,87.0
1981-02-01,87.9
1981-03-01,88.5
1981-04-01,89.1
1981-05-01,89.8
1981-06-01,90.6
1981-07-01,91.6
1981-08-01,92.3
1981-09-01,93.2
1981-10-01,93.4
1981-11-01,93.7
1981-12-01,94.0
1982-01-01,94.3
1982-02-01,94.6
1982-03-01,94.5
1982-04-01,94.9
1982-05-01,95.8
1982-06-01,97.0
1982-07-01,97.5
1982-08-01,97.7
1982-09-01,97.9
1982-10-01,98.2
1982-11-01,98.0
1982-12-01,97.6
1983-01-01,97.8
1983-02-01,97.9
1983-03-01,97.9
1983-04-01,98.6
1983-05-01,99.2
1983-06-01,99.5
1983-07-01,99.9
1983-08-01,100.2
1983-09-01,100.7
1983-10-01,101.0
1983-11-01,101.2
1983-12-01,101.3
1984-01-01,101.9
1984-02-01,102.4
1984-03-01,102.6
1984-04-01,103.1
1984-05-01,103.4
1984-06-01,103.7
1984-07-01,104.1
1984-08-01,104.5
1984-09-01,105.0
1984-10-01,105.3
1984-11-01,105.3
1984-12-01,105.3
1985-01-01,105.5
1985-02-01,106.0
1985-03-01,106.4
1985-04-01,106.9
1985-05-01,107.3
1985-06-01,107.6
1985-07-01,107.8
1985-08-01,108.0
1985-09-01,108.3
1985-10-01,108.7
1985-11-01,109.0
1985-12-01,109.3
1986-01-01,109.6
1986-02-01,109.3
1986-03-01,108.8
1986-04-01,108.6
1986-05-01,108.9
1986-06-01,109.5
1986-07-01,109.5
1986-08-01,109.7
1986-09-01,110.2
1986-10-01,110.3
1986-11-01,110.4
1986-12-01,110.5
1987-01-01,111.2
1987-02-01,111.6
1987-03-01,112.1
1987-04-01,112.7
1987-05-01,113.1
1987-06-01,113.5
1987-07-01,113.8
1987-08-01,114.4
1987-09-01,115.0
1987-10-01,115.3
1987-11-01,115.4
1987-12-01,115.4
1988-01-01,115.7
1988-02-01,116.0
1988-03-01,116.5
1988-04-01,117.1
1988-05-01,117.5
1988-06-01,118.0
1988-07-01,118.5
1988-08-01,119.0
1988-09-01,119.8
1988-10-01,120.2
1988-11-01,120.3
1988-12-01,120.5
1989-01-01,121.1
1989-02-01,121.6
1989-03-01,122.3
1989-04-01,123.1
1989-05-01,123.8
1989-06-01,124.1
1989-07-01,124.4
1989-08-01,124.6
1989-09-01,125.0
1989-10-01,125.6
1989-11-01,125.9
1989-12-01,126.1
1990-01-01,127.4
1990-02-01,128.0
1990-03-01,128.7
1990-04-01,128.9
1990-05-01,129.2
1990-06-01,129.9
1990-07-01,130.4
1990-08-01,131.6
1990-09-01,132.7
1990-10-01,133.5
1990-11-01,133.8
1990-12-01,133.8
1991-01-01,134.6
1991-02-01,134.8
1991-03-01,135.0
1991-04-01,135.2
1991-05-01,135.6
1991-06-01,136.0
1991-07-01,136.2
1991-08-01,136.6
1991-09-01,137.2
1991-10-01,137.4
1991-11-01,137.8
1991-12-01,137.9
1992-01-01,138.1
1992-02-01,138.6
1992-03-01,139.3
1992-04-01,139.5
1992-05-01,139.7
1992-06-01,140.2
1992-07-01,140.5
1992-08-01,140.9
1992-09-01,141.3
1992-10-01,141.8
1992-11-01,142.0
1992-12-01,141.9
1993-01-01,142.6
1993-02-01,143.1
1993-03-01,143.6
1993-04-01,144.0
1993-05-01,144.2
1993-06-01,144.4
1993-07-01,144.4
1993-08-01,144.8
1993-09-01,145.1
1993-10-01,145.7
1993-11-01,145.8
1993-12-01,145.8
1994-01-01,146.2
1994-02-01,146.7
1994-03-01,147.2
1994-04-01,147.4
1994-05-01,147.5
1994-06-01,148.0
1994-07-01,148.4
1994-08-01,149.0
1994-09-01,149.4
1994-10-01,149.5
1994-11-01,149.7
1994-12-01,149.7
1995-01-01,150.3
1995-02-01,150.9
1995-03-01,151.4
1995-04-01,151.9
1995-05-01,152.2
1995-06-01,152.5
1995-07-01,152.5
1995-08-01,152.9
1995-09-01,153.2
1995-10-01,153.7
1995-11-01,153.6
1995-12-01,153.5
1996-01-01,154.4
1996-02-01,154.9
1996-03-01,155.7
1996-04-01,156.3
1996-05-01,156.6
1996-06-01,156.7
1996-07-01,157.0
1996-08-01,157.3
1996-09-01,157.8
1996-10-01,158.3
1996-11-01,158.6
1996-12-01,158.6
1997-01-01,159.1
1997-02-01,159.6
1997-03-01,160.0
1997-04-01,160.2
1997-05-01,160.1
1997-06-01,160.3
1997-07-01,160.5
1997-08-01,160.8
1997-09-01,161.2
1997-10-01,161.6
1997-11-01,161.5
1997-12-01,161.3
1998-01-01,161.6
1998-02-01,161.9
1998-03-01,162.2
1998-04-01,162.5
1998-05-01,162.8
1998-06-01,163.0
1998-07-01,163.2
1998-08-01,163.4
1998-09-01,163.6
1998-10-01,164.0
1998-11-01,164.0
1998-12-01,163.9
1999-01-01,164.3
1999-02-01,164.5
1999-03-01,165.0
1999-04-01,166.2
1999-05-01,166.2
1999-06-01,166.2
1999-07-01,166.7
1999-08-01,167.1
1999-09-01,167.9
1999-10-01,168.2
1999-11-01,168.3
1999-12-01,168.3
2000-01-01,168.8
2000-02-01,169.8
2000-03-01,171.2
2000-04-01,171.3
2000-05-01,171.5
2000-06-01,172.4
2000-07-01,172.8
2000-08-01,172.8
2000-09-01,173.7
2000-10-01,174.0
2000-11-01,174.1
2000-12-01,174.0
2001-01-01,175.1
2001-02-01,175.8
2001-03-01,176.2
2001-04-01,176.9
2001-05-01,177.7
2001-06-01,178.0
2001-07-01,177.5
2001-08-01,177.5
2001-09-01,178.3
2001-10-01,177.7
2001-11-01,177.4
2001-12-01,176.7
2002-01-01,177.1
2002-02-01,177.8
2002-03-01,178.8
2002-04-01,179.8
2002-05-01,179.8
2002-06-01,179.9
2002-07-01,180.1
2002-08-01,180.7
2002-09-01,181.0
2002-10-01,181.3
2002-11-01,181.3
2002-12-01,180.9
2003-01-01,181.7
2003-02-01,183.1
2003-03-01,184.2
2003-04-01,183.8
2003-05-01,183.5
2003-06-01,183.7
2003-07-01,183.9
2003-08-01,184.6
2003-09-01,185.2
2003-10-01,185.0
2003-11-01,184.5
2003-12-01,184.3
2004-01-01,185.2
2004-02-01,186.2
2004-03-01,187.4
2004-04-01,188.0
2004-05-01,189.1
2004-06-01,189.7
2004-07-01,189.4
2004-08-01,189.5
2004-09-01,189.9
2004-10-01,190.9
2004-11-01,191.0
2004-12-01,190.3
2005-01-01,190.7
2005-02-01,191.8
2005-03-01,193.3
2005-04-01,194.6
2005-05-01,194.4
2005-06-01,194.5
2005-07-01,195.4
2005-08-01,196.4
2005-09-01,198.8
2005-10-01,199.2
2005-11-01,197.6
2005-12-01,196.8
2006-01-01,198.3
2006-02-01,198.7
2006-03-01,199.8
2006-04-01,201.5
2006-05-01,202.5
2006-06-01,202.9
2006-07-01,203.5
2006-08-01,203.9
2006-09-01,202.9
2006-10-01,201.8
2006-11-01,201.5
2006-12-01,201.8
2007-01-01,202.416
2007-02-01,203.499
2007-03-01,205.352
2007-04-01,206.686
2007-05-01,207.949
2007-06-01,208.352
2007-07-01,208.299
2007-08-01,207.917
2007-09-01,208.490
2007-10-01,208.936
2007-11-01,210.177
2007-12-01,210.036
2008-01-01,211.080
2008-02-01,211.693
2008-03-01,213.528
2008-04-01,214.823
2008-05-01,216.632
2008-06-01,218.815
2008-07-01,219.964
2008-08-01,219.086
2008-09-01,218.783
2008-10-01,216.573
2008-11-01,212.425
2008-12-01,210.228
2009-01-01,211.143
2009-02-01,212.193
2009-03-01,212.709
2009-04-01,213.240
2009-05-01,213.856
2009-06-01,215.693
2009-07-01,215.351
2009-08-01,215.834
2009-09-01,215.969
2009-10-01,216.177
2009-11-01,216.330
2009-12-01,215.949
2010-01-01,216.687
2010-02-01,216.741
2010-03-01,217.631
2010-04-01,218.009
2010-05-01,218.178
2010-06-01,217.965
2010-07-01,218.011
2010-08-01,218.312
2010-09-01,218.439
2010-10-01,218.711
2010-11-01,218.803
2010-12-01,219.179
2011-01-01,220.223
2011-02-01,221.309
2011-03-01,223.467
2011-04-01,224.906
2011-05-01,225.964
2011-06-01,225.722
2011-07-01,225.922
2011-08-01,226.545
2011-09-01,226.889
2011-10-01,226.421
2011-11-01,226.230
2011-12-01,225.672
2012-01-01,226.665
2012-02-01,227.663
2012-03-01,229.392
2012-04-01,230.085
2012-05-01,229.815
2012-06-01,229.478
2012-07-01,229.104
2012-08-01,230.379
2012-09-01,231.407
2012-10-01,231.317
2012-11-01,230.221
2012-12-01,229.601
2013-01-01,230.280
2013-02-01,232.166
2013-03-01,232.773
2013-04-01,232.531
2013-05-01,232.945
2013-06-01,233.504
2013-07-01,233.596
2013-08-01,233.877
2013-09-01,234.149
2013-10-01,233.546
2013-11-01,233.069
2013-12-01,233.049
2014-01-01,233.916
2014-02-01,234.781
2014-03-01,236.293
2014-04-01,237.072
2014-05-01,237.900
2014-06-01,238.343
2014-07-01,238.250
2014-08-01,237.852
2014-09-01,238.031
2014-10-01,237.433
2014-11-01,236.151
2014-12-01,234.812
2015-01-01,233.707
2015-02-01,234.722
2015-03-01,236.119
2015-04-01,236.599
2015-05-01,237.805
2015-06-01,238.638
2015-07-01,238.654
2015-08-01,238.316
2015-09-01,237.945
2015-10-01,237.838
2015-11-01,237.336
2015-12-01,236.525
2016-01-01,236.916
2016-02-01,237.111
2016-03-01,238.132
2016-04-01,239.261
2016-05-01,240.229
2016-06-01,241.018
2016-07-01,240.628
2016-08-01,240.849
2016-09-01,241.428
2016-10-01,241.729
2016-11-01,241.353
2016-12-01,241.432
2017-01-01,242.839
2017-02-01,243.603
2017-03-01,243.801
2017-04-01,244.524
2017-05-01,244.733
2017-06-01,244.955
2017-07-01,244.786
2017-08-01,245.519
2017-09-01,246.819
2017-10-01,246.663
2017-11-01,246.669
2017-12-01,246.524
2018-01-01,247.867
2018-02-01,248.991
2018-03-01,249.554
2018-04-01,250.546
2018-05-01,251.588
2018-06-01,251.989
2018-07-01,252.006
2018-08-01,252.146
2018-09-01,252.439
2018-10-01,252.885
2018-11-01,252.038
2018-12-01,251.233
2019-01-01,251.712
2019-02-01,252.776
2019-03-01,254.202
2019-04-01,255.548
