tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N11187,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11189,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11191,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11192,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11193,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11194,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11199,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N111US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N11206,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N112US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N113UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N114UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N11535,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11536,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11539,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11544,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11547,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11548,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11551,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11565,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N117UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N118US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N119US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N1200K,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1201P,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N12109,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N12114,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N12116,1996,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N12122,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12125,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N12126,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12135,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12136,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12142,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12145,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12157,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12160,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12163,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12166,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12167,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12172,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12175,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12195,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N121DE,1987,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N121UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N12201,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12216,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12218,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12221,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12225,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N12238,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N122US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N123UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N124US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N12540,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12552,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12563,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12564,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12567,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12569,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N125UW,2009,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N126UW,2009,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N127UW,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N128UW,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
N12900,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12921,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12922,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12924,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12957,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12967,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12996,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13110,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N13113,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N13118,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13123,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13124,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13132,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13133,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13138,1999,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N13161,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N131EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13202,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13248,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N132EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N133EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N134EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13538,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13550,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13553,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13566,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N135EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N136DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N136EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13716,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N13718,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N13750,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N137DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N137EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N138EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13903,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13908,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13913,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13914,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13949,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13955,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13956,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13958,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13964,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13965,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13968,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13969,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13970,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13975,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13978,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13979,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13988,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13989,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13992,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13994,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13995,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13997,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14102,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14105,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14106,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14107,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14115,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14116,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14117,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14118,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14120,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14121,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
N14125,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14143,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14148,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14153,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14158,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14162,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14168,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14171,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14173,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14174,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14177,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14179,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14180,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14186,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14188,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14198,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14203,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14204,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14214,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14219,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14228,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14230,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14231,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14237,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14242,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14250,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N143DA,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N14542,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14543,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14558,NA,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14562,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14568,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14570,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14573,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14629,1965,Fixed wing multi engine,BOEING,737-524,2,149,NA,Turbo-fan
N146PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N14704,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N14731,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N147PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N14902,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14904,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14905,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14907,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14916,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14920,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14923,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14950,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14952,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14953,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14959,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14960,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14972,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14974,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14977,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14991,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14993,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14998,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N1501P,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N150UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N151UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N152DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N152UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N153DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N153PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N153UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N154DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N154UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15555,NA,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15572,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15574,NA,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N155DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N155UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N156DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N156UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15710,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N15712,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N157UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15910,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15912,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15973,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15980,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15983,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15985,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15986,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N1602,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1603,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1604R,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1605,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N16065,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1607B,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1608,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1609,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1610D,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N16112,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N1611B,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1612T,2001,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1613B,2001,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N16147,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16149,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16151,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16170,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16178,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16183,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N161PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N161UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N16217,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N16234,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N162PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N162UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N163US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N16541,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16546,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16559,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16561,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16571,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N165US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N166PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N16701,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N16703,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N16709,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N16713,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N16732,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
N167US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
N168AT,2004,Fixed wing multi engine,BOEING,737-76N,2,149,NA,Turbo-fan
N16911,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16918,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16919,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16951,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16954,1998,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16961,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16963,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16976,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16981,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16987,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16999,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N169AT,2004,Fixed wing multi engine,BOEING,737-76N,2,149,NA,Turbo-fan
N169DZ,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
